"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"RV2,RV1";"Potentiometer_Bourns_3386P_Vertical";2;"R_POT_10K";;;
2;"DS2";"Adafruit-1001-0-0-MFG";1;"LED_Display_1001";;;
3;"H4,H2,H3,H1";"MountingHole_3.2mm_M3";4;"MountingHole";;;
4;"R3,R8,R4";"R_0805_2012Metric";3;"R_0805_47";;;
5;"C5,C4";"C_0805_2012Metric";2;"C_0805_22pf";;;
6;"R9";"R_0805_2012Metric";1;"R_0805_1K";;;
7;"J1";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06";;;
8;"R2,R10";"R_0805_2012Metric";2;"R_0805_10K";;;
9;"C9";"C_0805_2012Metric";1;"C_0805_10uf";;;
10;"C10,C2,C1,C11,C3,C8,C7";"C_0805_2012Metric";7;"C_0805_0.1uf";;;
11;"SW1";"SW_SPST_Omron_B3FS-100xP";1;"Omron_B3F_SPST";;;
12;"TP8,TP5,TP2,TP9,TP3,TP6,TP7,TP1";"TestPoint_THTPad_D2.0mm_Drill1.0mm";8;"TestPoint";;;
13;"U2";"TO-252-2";1;"L7805";;;
14;"Y1";"Crystal_SMD_HC49-SD";1;"Crystal_16MHz";;;
15;"R6,R5";"R_0805_2012Metric";2;"R_0805_4.7K";;;
16;"U5";"PIRMotionModule";1;"PIRMotionModule";;;
17;"U1";"DIP-28_W7.62mm";1;"ATmega328-PU";;;
18;"J6";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_02x03_Odd_Even";;;
19;"U3";"DIP-8_W7.62mm";1;"DS1307_DIP-8";;;
20;"J3";"PinHeader_1x05_P2.54mm_Vertical";1;"Conn_01x05";;;
21;"D1";"LED_0805_2012Metric";1;"LED_0805";;;
22;"J5";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03";;;
23;"R7";"R_0805_2012Metric";1;"R_0805_22K";;;
24;"Y2";"Crystal_SMD_2Pin_3.2x1.5mm";1;"Crystal_32768Hz";;;
25;"U4";"DIP-24_W7.62mm";1;"MAX7219";;;
26;"C6";"C_0805_2012Metric";1;"C_0805_1uf";;;
27;"R11";"R_0805_2012Metric";1;"R_0805_2.2K";;;
28;"DS1";"TC1602A-01T";1;"TC1602A-01T";;;
29;"J2";"Wurth-694106402002";1;"Power_inlet_vertical";;;
30;"BT1";"BatteryHolder_Keystone_106_1x20mm";1;"Battery_Cell";;;
