Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery_Cell","BatteryHolder_Keystone_106_1x20mm",-4.950393,1.301430,90.000000,bottom
"J2","Power_inlet_vertical","Wurth-694106402002",-4.600394,0.608661,0.000000,bottom
"C1","C_0805_0.1uf","C_0805_2012Metric",3.150394,1.058661,-90.000000,top
"C2","C_0805_0.1uf","C_0805_2012Metric",3.200394,1.658661,180.000000,top
"C3","C_0805_0.1uf","C_0805_2012Metric",4.150394,1.008661,0.000000,top
"C4","C_0805_22pf","C_0805_2012Metric",3.400394,1.808661,90.000000,top
"C5","C_0805_22pf","C_0805_2012Metric",2.700394,1.808661,90.000000,top
"C6","C_0805_1uf","C_0805_2012Metric",5.000394,0.608661,180.000000,top
"C7","C_0805_0.1uf","C_0805_2012Metric",5.300394,0.608661,0.000000,top
"C8","C_0805_0.1uf","C_0805_2012Metric",2.933858,0.858661,0.000000,top
"C9","C_0805_10uf","C_0805_2012Metric",0.550394,0.808661,0.000000,top
"C10","C_0805_0.1uf","C_0805_2012Metric",0.550394,0.658661,0.000000,top
"C11","C_0805_0.1uf","C_0805_2012Metric",1.050394,0.258661,-90.000000,top
"D1","LED_0805","LED_0805_2012Metric",3.700394,0.858661,0.000000,top
"DS1","TC1602A-01T","TC1602A-01T",0.750394,3.313287,0.000000,top
"DS2","LED_Display_1001","Adafruit-1001-0-0-MFG",1.350394,1.508661,90.000000,top
"J1","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",4.350394,1.558661,0.000000,top
"J3","Conn_01x05","PinHeader_1x05_P2.54mm_Vertical",1.950197,0.308661,-90.000000,top
"J5","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",2.450394,0.308661,-90.000000,top
"J6","Conn_02x03_Odd_Even","PinHeader_2x03_P2.54mm_Vertical",3.600197,0.608071,0.000000,top
"R2","R_0805_10K","R_0805_2012Metric",4.083858,1.208661,0.000000,top
"R3","R_0805_47","R_0805_2012Metric",3.750394,1.658661,90.000000,top
"R4","R_0805_47","R_0805_2012Metric",3.650394,1.658661,90.000000,top
"R5","R_0805_4.7K","R_0805_2012Metric",3.150394,0.858661,0.000000,top
"R6","R_0805_4.7K","R_0805_2012Metric",3.366929,0.858661,180.000000,top
"R7","R_0805_22K","R_0805_2012Metric",0.550394,0.958661,0.000000,top
"R8","R_0805_47","R_0805_2012Metric",3.800394,1.908661,0.000000,top
"R9","R_0805_1K","R_0805_2012Metric",1.200394,0.308661,180.000000,top
"R10","R_0805_10K","R_0805_2012Metric",1.350394,0.358661,-90.000000,top
"R11","R_0805_2.2K","R_0805_2012Metric",3.874016,1.008661,0.000000,top
"RV1","R_POT_10K","Potentiometer_Bourns_3386P_Vertical",4.150394,2.008661,180.000000,top
"RV2","R_POT_10K","Potentiometer_Bourns_3386P_Vertical",2.350394,0.858661,90.000000,top
"SW1","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",4.050394,0.658661,90.000000,top
"U1","ATmega328-PU","DIP-28_W7.62mm",3.800000,1.508268,-90.000000,top
"U2","L7805","TO-252-2",5.150394,0.908661,90.000000,top
"U3","DS1307_DIP-8","DIP-8_W7.62mm",3.000787,0.359055,90.000000,top
"U4","MAX7219","DIP-24_W7.62mm",0.800197,0.759055,90.000000,top
"U5","PIRMotionModule","PIRMotionModule",4.350394,2.708661,0.000000,top
"Y1","Crystal_16MHz","Crystal_SMD_HC49-SD",3.050394,1.808661,0.000000,top
"Y2","Crystal_32768Hz","Crystal_SMD_2Pin_3.2x1.5mm",3.050394,0.208661,180.000000,top
